name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
Anju House,(213) 315-5153,"234 S Oxford Ave, Los Angeles, CA 90004",Los Angeles,CA,90004,https://www.yelp.com/biz/anju-house-los-angeles-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,korean,"Korean, Bars, Tapas/Small Plates",4.4,687,Yelp,2026-07-02
Seoul Market Eatery,(213) 248-8177,"3110 W Olympic Blvd, Los Angeles, CA 90006",Los Angeles,CA,90006,https://www.yelp.com/biz/seoul-market-eatery-los-angeles?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,korean,Korean,4.5,235,Yelp,2026-07-02
Red Cloak,(213) 908-7368,"3525 W 3rd St, Ste 2, Los Angeles, CA 90020",Los Angeles,CA,90020,https://www.yelp.com/biz/red-cloak-los-angeles?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,korean,"Korean, Asian Fusion",4.2,5,Yelp,2026-07-02
