name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
Tandoori Express,(559) 683-3363,"40278 Rd 425A, Unit -  7, Oakhurst, CA 93644",Oakhurst,CA,93644,https://www.yelp.com/biz/tandoori-express-oakhurst?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,indian,"Indian, Desserts, Chicken Wings",4.0,470,Yelp,2026-07-02
Curry House Indian Bistro & Bar,(559) 432-2700,"7735 N Blackstone Ave, Ste 105, Fresno, CA 93720",Fresno,CA,93720,https://www.yelp.com/biz/curry-house-indian-bistro-and-bar-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,indian,"Indian, Bars",3.3,254,Yelp,2026-07-02
Urban Kitchen,(510) 509-9100,"6221 Jarvis Ave, Newark, CA 94560",Newark,CA,94560,https://www.yelp.com/biz/urban-kitchen-newark-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,indian,"Indian, Burgers, Pizza",3.9,413,Yelp,2026-07-02
