name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
Dos Alas CubaRican Café & Lounge,(760) 965-0345,"101 Sherwin Creek Rd, Mammoth Lakes, CA 93546",Mammoth Lakes,CA,93546,https://www.yelp.com/biz/dos-alas-cubarican-caf%C3%A9-and-lounge-mammoth-lakes?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,caribbean,"Cuban, Puerto Rican, Spanish",4.5,402,Yelp,2026-07-02
Urban Comfort Foods Kitchen,(323) 986-5700,"17948 Avalon Blvd, Carson, CA 90746",Carson,CA,90746,https://www.yelp.com/biz/urban-comfort-foods-kitchen-carson-4?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,caribbean,"Caribbean, Comfort Food",4.2,65,Yelp,2026-07-02
Urban Comfort Foods Kitchen,(323) 986-5700,"17948 Avalon Blvd, Carson, CA 90746",Carson,CA,90746,https://www.yelp.com/biz/urban-comfort-foods-kitchen-carson-4?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,caribbean,"Caribbean, Comfort Food",4.2,65,Yelp,2026-07-02
Urban Comfort Foods Kitchen,(323) 986-5700,"17948 Avalon Blvd, Carson, CA 90746",Carson,CA,90746,https://www.yelp.com/biz/urban-comfort-foods-kitchen-carson-4?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,caribbean,"Caribbean, Comfort Food",4.2,65,Yelp,2026-07-02
Urban Comfort Foods Kitchen,(323) 986-5700,"17948 Avalon Blvd, Carson, CA 90746",Carson,CA,90746,https://www.yelp.com/biz/urban-comfort-foods-kitchen-carson-4?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,caribbean,"Caribbean, Comfort Food",4.2,65,Yelp,2026-07-02
