name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
Sunny Market & Liquor,(559) 674-0661,"21153 Rd 600, Madera, CA 93638",Madera,CA,93638,https://www.yelp.com/biz/sunny-market-and-liquor-madera?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,retail,"Convenience Stores, Gas Stations",5.0,1,Yelp,2026-07-02
Tollhouse Market And Grill,(559) 855-5213,"28524 Tollhouse Rd, Tollhouse, CA 93667",Tollhouse,CA,93667,https://www.yelp.com/biz/tollhouse-market-and-grill-tollhouse?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,retail,"Burgers, Convenience Stores, Italian",4.6,93,Yelp,2026-07-02
Quick Mart,(559) 227-6618,"2329 N 1st St, Fresno, CA 93703",Fresno,CA,93703,https://www.yelp.com/biz/quick-mart-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,retail,Convenience Stores,4.0,2,Yelp,2026-07-02
Tioga Gas Mart & Whoa Nellie Deli,(760) 647-1088,"22 Vista Point Rd, Lee Vining, CA 93541",Lee Vining,CA,93541,https://www.yelp.com/biz/tioga-gas-mart-and-whoa-nellie-deli-lee-vining?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,retail,"Delis, Gas Stations, Convenience Stores",4.1,847,Yelp,2026-07-02
Tollhouse Market And Grill,(559) 855-5213,"28524 Tollhouse Rd, Tollhouse, CA 93667",Tollhouse,CA,93667,https://www.yelp.com/biz/tollhouse-market-and-grill-tollhouse?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,retail,"Burgers, Convenience Stores, Italian",4.6,93,Yelp,2026-07-02
Tollhouse Market And Grill,(559) 855-5213,"28524 Tollhouse Rd, Tollhouse, CA 93667",Tollhouse,CA,93667,https://www.yelp.com/biz/tollhouse-market-and-grill-tollhouse?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,retail,"Burgers, Convenience Stores, Italian",4.6,93,Yelp,2026-07-02
Golden State Mini Market,(559) 274-2351,"1915 1st St, Selma, CA 93662",Selma,CA,93662,https://www.yelp.com/biz/golden-state-mini-market-selma?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,retail,"Convenience Stores, Beer, Wine & Spirits, Beverage Store",4.5,2,Yelp,2026-07-02
Tollhouse Market And Grill,(559) 855-5213,"28524 Tollhouse Rd, Tollhouse, CA 93667",Tollhouse,CA,93667,https://www.yelp.com/biz/tollhouse-market-and-grill-tollhouse?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,retail,"Burgers, Convenience Stores, Italian",4.6,93,Yelp,2026-07-02
