name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
E's Sol Food,(559) 217-6578,"2011 E Lewis Ave, Fresno, CA 93701",Fresno,CA,93701,https://www.yelp.com/biz/es-sol-food-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,food_truck,"Food Trucks, Soul Food",4.4,7,Yelp,2026-07-02
Taco Caporales,(209) 947-7491,"1735 W State Hwy 140, Merced, CA 95341",Merced,CA,95341,https://www.yelp.com/biz/taco-caporales-merced?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,food_truck,"Food Trucks, Tacos",4.7,13,Yelp,2026-07-02
El Agave Mexican Eatery,(559) 558-6421,"1785 W Dakota Ave, Fresno, CA 93705",Fresno,CA,93705,https://www.yelp.com/biz/el-agave-mexican-eatery-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,food_truck,"Food Trucks, Tacos",3.7,3,Yelp,2026-07-02
El Cubano Kitchen,(818) 445-0669,"Orange, CA 92866",Orange,CA,92866,https://www.yelp.com/biz/el-cubano-kitchen-orange-5?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,food_truck,"Cuban, Food Trucks",4.6,77,Yelp,2026-07-02
El Agave Mexican Eatery,(559) 558-6421,"1785 W Dakota Ave, Fresno, CA 93705",Fresno,CA,93705,https://www.yelp.com/biz/el-agave-mexican-eatery-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,food_truck,"Food Trucks, Tacos",3.7,3,Yelp,2026-07-02
Taco Caporales,(209) 947-7491,"1735 W State Hwy 140, Merced, CA 95341",Merced,CA,95341,https://www.yelp.com/biz/taco-caporales-merced?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,food_truck,"Food Trucks, Tacos",4.7,13,Yelp,2026-07-02
Butcher Paper Food Truck,(858) 263-9835,"2750 Wheatstone St, San Diego, CA 92111",San Diego,CA,92111,https://www.yelp.com/biz/butcher-paper-food-truck-san-diego?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,food_truck,"Food Trucks, Sandwiches, Burgers",4.5,10,Yelp,2026-07-02
