name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
Pho Lotus,(559) 372-7044,"3837 W Caldwell Ave, Ste A, Visalia, CA 93277",Visalia,CA,93277,https://www.yelp.com/biz/pho-lotus-visalia?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,vietnamese,"Comfort Food, Coffee & Tea, Vietnamese",3.8,19,Yelp,2026-07-02
Pho Village,(559) 319-7113,"5183 E Kings Canyon Rd, Fresno, CA 93727",Fresno,CA,93727,https://www.yelp.com/biz/pho-village-fresno?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,vietnamese,"Asian Fusion, Soup, Vietnamese",4.6,7,Yelp,2026-07-02
Noah's Vietnamese Fusion Cuisine,(209) 349-8660,"1327 W 18th St, Merced, CA 95340",Merced,CA,95340,https://www.yelp.com/biz/noahs-vietnamese-fusion-cuisine-merced-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,vietnamese,"Vietnamese, Coffee & Tea",4.1,490,Yelp,2026-07-02
Golden Crab House,(415) 702-6685,"1830 Irving St, San Francisco, CA 94122",San Francisco,CA,94122,https://www.yelp.com/biz/golden-crab-house-san-francisco?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,vietnamese,"Seafood, Vietnamese, Asian Fusion",4.3,448,Yelp,2026-07-02
Golden Lake Eatery Cambodian Restaurant,(213) 285-4331,"424 W College St, Los Angeles, CA 90012",Los Angeles,CA,90012,https://www.yelp.com/biz/golden-lake-eatery-cambodian-restaurant-los-angeles-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,vietnamese,"Cambodian, Vietnamese, Chinese",3.6,346,Yelp,2026-07-02
Little Vietnam Cafe,(415) 876-0283,"309 6th Ave, San Francisco, CA 94118",San Francisco,CA,94118,https://www.yelp.com/biz/little-vietnam-cafe-san-francisco?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,vietnamese,"Vietnamese, Sandwiches, Vegetarian",3.9,606,Yelp,2026-07-02
Banh Mi Viet,(415) 865-0909,"518 Divisadero St, San Francisco, CA 94117",San Francisco,CA,94117,https://www.yelp.com/biz/banh-mi-viet-san-francisco?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,vietnamese,Vietnamese,4.5,134,Yelp,2026-07-02
