name,phone,address,city,state,zip,website,category_type,categories,rating,review_count,source,date_found
Little Caesars,(559) 326-7580,"1195 Herndon Ave, Ste 105, Clovis, CA 93612",Clovis,CA,93612,https://www.yelp.com/biz/little-caesars-clovis-4?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,pizza,"Pizza, Chicken Wings",3.5,29,Yelp,2026-07-02
Little Caesars,(559) 326-7580,"1195 Herndon Ave, Ste 105, Clovis, CA 93612",Clovis,CA,93612,https://www.yelp.com/biz/little-caesars-clovis-4?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,pizza,"Pizza, Chicken Wings",3.5,29,Yelp,2026-07-02
Taco John's,(254) 532-9107,"12003 37th St, Fort Hood, TX 76544",Fort Hood,TX,76544,https://www.yelp.com/biz/taco-johns-fort-hood-2?adjust_creative=BkJcGSdN3A98X2H7gLpQjA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BkJcGSdN3A98X2H7gLpQjA,mexican,Mexican,,,Yelp,2026-07-02
